gender,age,characteristics_people,year,smokers,ex_smokers,never_smoked,drinker,ex_drinker,never_drank,heavy_drinker,max_1_glass_per_day,underweight,normal_weight,overweight,sufficient_moderate_intensive-effort,7_days_per_week_sufficient_fruit,7_days_per_week_sufficient_veg
all,all,all,2014,24.4,29.3,46.3,77.2,11.2,11.6,11.8,41.0,2.1,54.8,43.1,0.0,27.4,29.3
all,all,all,2016,22.2,30.0,47.9,76.0,11.4,12.6,11.1,42.9,2.3,54.5,43.2,51.8,29.6,19.3
all,all,all,2018,20.7,30.4,48.9,75.8,11.2,13.0,11.0,43.8,2.3,53.7,44.0,53.4,29.3,20.2
all,all,ed. lv 1,2014,28.5,37.4,34.1,70.1,16.4,13.5,10.9,49.9,1.2,38.5,60.4,0.0,31.5,26.7
all,all,ed. lv 1,2016,27.1,37.6,35.3,68.0,17.7,14.3,11.4,52.9,1.4,36.3,62.3,42.5,32.1,12.9
all,all,ed. lv 1,2018,26.2,39.4,34.4,66.0,19.0,15.0,11.7,54.8,1.4,36.4,62.2,42.9,30.7,14.6
all,all,ed. lv 2,2014,26.8,35.3,37.9,82.9,11.3,5.9,10.5,37.3,1.1,44.5,54.4,0.0,27.3,28.5
all,all,ed. lv 2,2016,25.7,35.2,39.1,81.4,11.4,7.3,9.8,38.6,1.0,45.4,53.6,52.5,30.0,17.1
all,all,ed. lv 2,2018,24.3,35.9,39.8,81.8,10.8,7.4,9.2,39.4,1.0,42.5,56.5,53.5,28.8,17.2
all,all,ed. lv 3 ,2014,18.6,30.9,50.5,89.5,6.7,3.8,9.1,30.2,1.4,56.1,42.6,0.0,29.4,36.7
all,all,ed. lv 3 ,2016,15.6,33.7,50.7,89.0,7.2,3.7,8.3,32.4,1.5,57.5,41.0,59.6,31.0,22.0
all,all,ed. lv 3 ,2018,13.9,33.1,52.9,88.5,7.0,4.4,8.5,33.2,1.4,57.2,41.5,61.1,32.0,23.4
all,all,ed. unknown,2014,20.5,30.4,49.1,57.4,19.0,23.6,5.9,61.8,1.4,36.4,62.2,0.0,28.2,30.9
all,all,ed. unknown,2016,22.2,31.3,46.5,51.0,20.8,28.2,11.0,69.0,1.1,37.4,61.5,41.0,29.0,21.5
all,all,ed. unknown,2018,20.7,33.0,46.3,53.2,19.9,26.9,11.5,67.0,1.4,31.2,67.4,47.7,30.7,19.5
all,all,inco 1st 20%,2014,34.5,19.5,46.1,69.2,13.5,17.3,15.9,46.3,3.4,56.8,39.8,0.0,23.8,28.5
all,all,inco 1st 20%,2016,31.6,20.6,47.8,64.3,15.4,20.2,15.7,51.6,3.1,54.5,42.4,47.2,27.5,21.3
all,all,inco 1st 20%,2018,30.7,21.8,47.6,60.3,16.7,23.0,15.6,56.7,3.3,53.4,43.4,46.5,27.7,22.6
all,all,inco 2nd 20%,2014,26.7,31.3,42.0,67.0,16.4,16.6,11.3,53.6,2.4,48.9,48.7,0.0,28.2,27.8
all,all,inco 2nd 20%,2016,26.0,32.0,42.0,66.8,16.3,16.9,10.7,53.1,2.7,49.8,47.5,45.9,31.0,16.3
all,all,inco 2nd 20%,2018,23.8,32.5,43.7,68.7,14.6,16.7,10.0,51.6,2.5,47.4,50.1,47.6,30.3,17.3
all,all,inco 3rd 20%,2014,24.2,31.1,44.7,77.2,11.7,11.1,11.8,41.8,1.7,52.3,45.9,0.0,27.0,27.2
all,all,inco 3rd 20%,2016,21.1,31.5,47.4,75.6,11.4,13.0,9.5,44.9,2.2,53.6,44.2,52.5,29.3,17.2
all,all,inco 3rd 20%,2018,21.0,31.4,47.6,75.8,12.0,12.2,9.9,45.6,1.8,52.9,45.3,54.4,29.9,18.1
all,all,inco 4th 20%,2014,21.0,31.0,48.0,81.2,9.4,9.4,11.2,37.5,2.0,56.2,41.8,0.0,27.9,28.4
all,all,inco 4th 20%,2016,20.1,30.3,49.6,81.1,9.4,9.5,11.5,38.2,1.9,54.5,43.7,54.2,29.0,17.7
all,all,inco 4th 20%,2018,16.8,32.8,50.4,81.7,8.5,9.8,9.9,38.9,2.3,54.3,43.5,55.9,27.8,19.2
all,all,inco 5th 20%,2014,19.7,31.0,49.3,86.2,7.0,6.8,10.6,30.9,1.6,58.5,39.9,0.0,29.1,33.4
all,all,inco 5th 20%,2016,16.0,33.2,50.8,85.9,7.1,7.0,10.1,32.3,2.1,58.4,39.5,56.4,30.6,22.9
all,all,inco 5th 20%,2018,15.1,32.1,52.8,86.1,7.1,6.8,11.4,32.4,2.0,58.3,39.7,58.7,30.5,23.2
all,all,BKGD: NL,2014,23.9,31.1,45.0,81.1,10.4,8.4,12.2,37.1,1.9,54.9,43.1,0.0,27.0,27.4
all,all,BKGD: NL,2016,21.5,32.2,46.3,80.8,10.3,8.9,11.2,38.4,2.2,54.6,43.2,53.5,29.3,17.2
all,all,BKGD: NL,2018,20.2,32.7,47.1,81.3,10.2,8.5,11.5,38.5,2.1,54.5,43.4,54.2,28.2,18.0
all,all,BKGD: western,2014,28.5,30.2,41.3,77.5,13.2,9.3,10.7,43.5,2.7,53.8,43.4,0.0,29.4,38.7
all,all,BKGD: western,2016,25.0,32.1,42.9,74.2,13.7,12.1,10.0,45.8,2.1,55.3,42.6,50.7,29.9,27.0
all,all,BKGD: western,2018,23.5,34.4,42.1,76.7,11.6,11.8,11.4,44.4,2.2,54.0,43.8,51.6,31.3,26.0
all,all,BKGD: other,2014,24.7,15.2,60.1,48.3,14.6,37.1,8.9,67.3,3.2,54.3,42.6,0.0,28.0,34.0
all,all,BKGD: other,2016,24.5,12.9,62.6,44.4,17.1,38.5,10.7,71.2,3.3,53.1,43.6,42.3,31.3,26.4
all,all,BKGD: other,2018,23.7,15.2,61.1,43.5,16.9,39.6,8.6,71.3,2.4,50.6,47.1,44.2,31.0,27.4
all,<25,all,2014,22.9,6.0,71.1,62.4,9.2,28.4,21.6,48.1,4.9,80.3,14.9,0.0,22.3,26.1
all,<25,all,2016,18.9,6.2,75.0,61.5,8.4,30.2,19.0,49.4,5.4,78.3,16.3,52.5,26.0,24.3
all,<25,all,2018,18.0,5.7,76.3,60.3,8.1,31.6,19.7,51.5,5.6,77.7,16.7,53.9,25.9,24.7
all,<25,inco 1st 20%,2014,30.3,5.7,64.0,64.5,8.9,26.7,25.5,43.9,5.4,76.6,18.0,0.0,22.6,30.0
all,<25,inco 1st 20%,2016,23.1,6.3,70.5,64.7,6.4,28.9,22.0,44.6,4.6,73.7,21.6,56.0,24.6,26.2
all,<25,inco 1st 20%,2018,22.0,7.5,70.5,59.2,6.1,34.6,23.9,51.1,5.8,74.6,19.6,52.6,27.0,27.7
all,<25,inco 2nd 20%,2014,21.8,6.1,72.1,52.8,10.5,36.7,18.7,59.8,4.3,78.8,16.8,0.0,20.9,25.4
all,<25,inco 2nd 20%,2016,21.1,5.4,73.4,51.9,10.8,37.3,16.4,58.4,6.4,77.2,16.4,49.4,26.6,23.5
all,<25,inco 2nd 20%,2018,19.1,3.5,77.4,53.5,9.8,36.7,15.5,59.6,6.3,74.1,19.6,51.8,25.7,23.0
all,<25,inco 3rd 20%,2014,18.8,6.6,74.6,59.6,9.2,31.2,20.2,50.1,4.9,79.0,16.1,0.0,19.8,21.0
all,<25,inco 3rd 20%,2016,16.8,5.1,78.0,55.5,8.1,36.4,19.3,56.4,5.6,79.1,15.3,52.6,27.8,23.3
all,<25,inco 3rd 20%,2018,16.0,3.8,80.2,55.2,10.5,34.2,15.9,58.2,4.4,79.2,16.5,54.2,25.7,21.7
all,<25,inco 4th 20%,2014,21.8,5.4,72.8,64.6,9.4,26.0,21.6,46.0,4.9,83.4,11.7,0.0,23.6,24.0
all,<25,inco 4th 20%,2016,17.8,7.1,75.1,62.4,9.9,27.8,17.9,48.9,4.5,79.7,15.8,50.6,23.8,21.8
all,<25,inco 4th 20%,2018,17.5,5.3,77.2,63.5,6.8,29.7,16.0,48.6,6.6,79.5,14.0,55.4,23.4,23.9
all,<25,inco 5th 20%,2014,18.9,6.7,74.4,68.1,8.4,23.5,19.0,44.1,4.6,84.2,11.2,0.0,24.4,29.0
all,<25,inco 5th 20%,2016,16.3,6.1,77.7,69.4,7.3,23.3,19.2,41.4,6.4,81.5,12.1,52.9,27.2,26.1
all,<25,inco 5th 20%,2018,15.5,7.6,76.9,68.3,7.5,24.2,25.3,42.5,5.0,81.2,13.8,55.2,28.0,26.2
all,<25,BKGD: NL,2014,23.9,5.9,70.2,67.9,8.1,23.9,22.8,42.9,4.6,82.3,13.1,0.0,20.8,23.4
all,<25,BKGD: NL,2016,20.3,6.9,72.8,68.6,7.7,23.6,20.6,42.5,5.5,79.8,14.7,54.1,24.5,21.0
all,<25,BKGD: NL,2018,18.4,6.0,75.6,65.4,7.9,26.6,22.0,46.1,5.4,80.7,14.0,55.5,22.5,21.3
all,<25,BKGD: western,2014,26.0,7.2,66.8,62.1,12.9,25.0,17.2,52.5,6.8,77.5,15.7,0.0,27.9,32.3
all,<25,BKGD: western,2016,19.2,6.1,74.7,59.0,10.6,30.5,15.2,51.9,4.6,80.3,15.0,53.5,26.8,35.1
all,<25,BKGD: other,2014,16.7,5.7,77.7,37.2,12.3,50.4,14.8,69.8,5.3,72.5,22.2,0.0,26.4,34.4
all,<25,BKGD: other,2016,12.5,3.0,84.5,30.7,10.2,59.1,6.8,79.0,5.5,71.0,23.5,45.7,31.7,33.2
all,<25,BKGD: other,2018,15.7,4.0,80.4,36.0,10.5,53.6,0.0,75.2,4.5,69.8,25.7,44.6,31.3,30.7
all,25-45,all,2014,29.9,21.7,48.4,82.7,9.8,7.5,11.4,34.1,1.9,55.1,43.0,0.0,21.9,25.9
all,25-45,all,2016,27.8,22.2,50.0,81.0,10.9,8.1,11.4,36.2,2.0,56.5,41.5,56.5,25.2,17.5
all,25-45,all,2018,26.5,22.4,51.1,81.5,9.7,8.8,10.6,36.3,1.8,54.0,44.2,56.8,25.4,19.0
all,25-45,ed. lv 1,2014,42.2,20.8,37.0,70.9,14.2,15.0,14.4,42.5,1.9,46.7,51.5,0.0,19.9,18.8
all,25-45,ed. lv 1,2016,43.7,18.5,37.9,67.4,16.7,15.9,15.4,47.8,2.7,41.6,55.7,49.7,24.0,14.7
all,25-45,ed. lv 1,2018,46.5,19.4,34.2,64.8,16.8,18.5,11.9,50.4,2.5,42.9,54.6,47.2,20.7,15.2
all,25-45,ed. lv 2,2014,33.3,22.6,44.1,81.7,11.3,6.9,11.7,35.2,1.7,51.3,47.0,0.0,21.0,22.8
all,25-45,ed. lv 2,2016,32.3,23.2,44.5,80.1,12.0,7.9,11.6,36.3,1.7,53.1,45.2,54.5,24.0,15.7
all,25-45,ed. lv 2,2018,31.6,24.0,44.4,81.3,10.7,8.0,9.8,36.8,1.6,46.5,51.9,54.7,24.1,16.9
all,25-45,ed. lv 3 ,2014,21.0,21.2,57.8,89.9,6.1,4.0,10.2,28.3,2.1,63.5,34.4,0.0,24.1,32.7
all,25-45,ed. lv 3 ,2016,16.5,23.3,60.2,89.3,7.1,3.5,9.9,29.6,2.1,66.4,31.5,61.5,26.6,19.7
all,25-45,ed. lv 3 ,2018,15.9,22.1,62.0,87.8,6.7,5.5,10.9,30.4,1.6,64.6,33.8,61.2,28.2,22.1
all,25-45,inco 1st 20%,2014,40.5,14.8,44.7,74.5,11.7,13.8,11.5,42.1,3.0,52.2,44.9,0.0,20.3,25.5
all,25-45,inco 1st 20%,2016,35.0,17.1,47.9,67.3,15.5,17.1,14.5,48.7,3.4,49.8,46.8,51.9,25.4,18.7
all,25-45,inco 1st 20%,2018,36.2,17.2,46.5,63.8,17.6,18.6,12.3,54.1,2.4,47.9,49.7,52.2,26.7,21.8
all,25-45,inco 2nd 20%,2014,35.4,23.4,41.1,73.2,13.0,13.7,12.4,44.2,3.0,51.4,45.6,0.0,22.4,21.4
all,25-45,inco 2nd 20%,2016,36.5,18.6,45.0,73.7,13.8,12.5,11.2,43.5,3.0,53.0,44.1,57.2,23.8,14.2
all,25-45,inco 2nd 20%,2018,34.2,20.8,45.0,78.0,10.6,11.3,10.8,37.9,1.4,47.2,51.4,55.6,24.1,19.3
all,25-45,inco 3rd 20%,2014,31.8,22.5,45.8,82.8,10.8,6.4,13.7,33.0,0.9,51.9,47.2,0.0,21.4,22.5
all,25-45,inco 3rd 20%,2016,27.5,24.7,47.8,82.3,11.0,6.7,10.1,34.0,1.6,55.0,43.4,58.0,24.7,15.0
all,25-45,inco 3rd 20%,2018,27.7,24.9,47.5,83.4,9.5,7.1,9.8,36.3,1.7,51.7,46.6,59.1,27.3,16.1
all,25-45,inco 4th 20%,2014,24.3,22.2,53.5,87.4,8.1,4.5,9.4,31.4,1.3,55.9,42.8,0.0,22.0,25.4
all,25-45,inco 4th 20%,2016,24.1,24.7,51.2,87.1,9.0,3.9,12.8,31.4,1.7,57.3,41.0,55.8,24.6,17.2
all,25-45,inco 4th 20%,2018,21.2,25.1,53.7,87.5,7.0,5.5,9.4,31.1,1.7,55.8,42.5,55.3,22.8,15.1
all,25-45,inco 5th 20%,2014,22.7,24.1,53.1,89.9,7.2,2.9,10.7,24.7,1.9,62.2,35.9,0.0,23.1,32.7
all,25-45,inco 5th 20%,2016,20.0,23.8,56.2,90.0,6.8,3.2,9.8,28.0,0.9,64.6,34.4,58.6,26.7,20.1
all,25-45,inco 5th 20%,2018,17.4,22.9,59.6,91.1,5.4,3.5,11.4,25.5,1.4,63.0,35.5,59.8,26.6,23.8
all,25-45,BKGD: NL,2014,29.1,23.0,47.9,88.3,8.8,2.9,11.8,28.6,1.8,56.2,42.0,0.0,21.1,23.9
all,25-45,BKGD: NL,2016,27.1,23.6,49.3,87.5,8.9,3.6,11.7,29.6,1.8,58.1,40.1,59.0,23.9,15.5
all,25-45,BKGD: NL,2018,24.9,23.8,51.3,89.5,7.8,2.7,10.6,27.4,1.8,55.6,42.6,58.2,24.2,17.2
all,25-45,BKGD: western,2014,36.3,24.2,39.5,85.2,10.3,4.5,11.6,31.5,1.5,55.9,42.6,0.0,24.5,37.9
all,25-45,BKGD: western,2016,28.8,26.3,45.0,80.2,12.5,7.3,8.1,36.7,1.8,57.5,40.7,56.8,28.7,27.0
all,25-45,BKGD: western,2018,27.0,28.0,45.0,84.8,9.8,5.3,10.3,36.0,1.1,59.4,39.6,57.6,32.0,26.2
all,25-45,BKGD: other,2014,29.2,14.0,56.9,53.5,14.6,31.9,7.8,62.8,2.4,49.5,48.1,0.0,24.4,27.5
all,25-45,BKGD: other,2016,30.3,12.6,57.1,51.9,19.1,29.1,12.6,66.3,3.0,48.5,48.6,45.0,28.9,20.0
all,25-45,BKGD: other,2018,30.0,14.6,55.4,50.2,17.7,32.1,8.0,64.3,1.7,46.7,51.6,49.1,26.5,24.8
all,45-65,all,2014,26.6,36.4,37.0,81.3,11.5,7.2,10.5,36.9,0.8,41.5,57.7,0.0,27.5,29.1
all,45-65,all,2016,24.8,36.4,38.8,80.6,11.0,8.4,10.3,38.5,1.0,41.8,57.2,53.2,28.4,19.4
all,45-65,all,2018,22.9,35.7,41.4,79.8,11.8,8.4,10.0,40.2,0.8,41.5,57.7,55.7,28.1,19.9
all,45-65,ed. lv 1,2014,35.5,36.4,28.0,71.1,16.4,12.5,13.3,44.9,1.0,36.4,62.6,0.0,25.5,21.6
all,45-65,ed. lv 1,2016,33.6,37.0,29.4,69.1,17.3,13.6,15.3,47.1,1.3,34.3,64.4,46.3,25.4,13.5
all,45-65,ed. lv 1,2018,32.3,35.6,32.1,65.2,19.9,14.9,15.6,50.9,1.5,32.8,65.7,48.6,25.0,16.0
all,45-65,ed. lv 2,2014,26.6,37.8,35.7,84.0,11.0,5.0,10.8,35.0,0.8,40.0,59.2,0.0,27.0,28.4
all,45-65,ed. lv 2,2016,25.2,36.6,38.3,83.0,9.9,7.1,9.5,36.4,0.7,41.1,58.1,53.5,29.0,18.8
all,45-65,ed. lv 2,2018,23.7,35.6,40.7,82.3,10.2,7.5,9.9,38.5,0.5,40.2,59.4,55.1,27.2,18.2
all,45-65,ed. lv 3 ,2014,17.5,35.1,47.4,89.4,7.1,3.5,7.9,29.8,0.7,49.3,50.0,0.0,29.8,37.4
all,45-65,ed. lv 3 ,2016,16.4,36.5,47.1,89.5,6.5,4.1,7.7,31.9,1.0,50.0,49.0,59.8,30.9,25.8
all,45-65,ed. lv 3 ,2018,14.1,36.7,49.3,90.7,6.3,3.0,6.8,31.5,0.8,51.0,48.2,62.7,31.6,25.0
all,45-65,ed. unknown,2014,26.9,24.5,48.6,59.9,15.6,24.5,0.0,60.4,1.1,38.6,60.3,0.0,31.2,34.4
all,45-65,ed. unknown,2016,27.1,25.3,47.5,53.9,19.2,26.9,0.0,61.7,1.0,33.3,65.8,40.5,21.9,16.8
all,45-65,ed. unknown,2018,26.9,26.9,46.2,45.3,25.5,29.2,0.0,76.0,0.0,30.3,69.7,43.8,30.0,22.0
all,45-65,inco 1st 20%,2014,38.9,29.2,32.0,67.9,19.8,12.3,13.4,50.2,1.7,36.3,61.9,0.0,24.5,25.4
all,45-65,inco 1st 20%,2016,40.6,27.5,31.9,65.5,18.4,16.1,16.5,53.5,1.6,41.3,57.1,40.5,27.0,21.7
all,45-65,inco 1st 20%,2018,41.3,26.9,31.8,58.4,21.5,20.1,16.7,57.6,1.3,38.9,59.8,42.5,24.0,19.5
