gender,age,characteristics_people,year,smokers,ex_smokers,never_smoked,drinker,ex_drinker,never_drank,heavy_drinker,max_1_glass_per_day,underweight,normal_weight,overweight,sufficient_moderate_intensive-effort,7_days_per_week_sufficient_fruit,7_days_per_week_sufficient_veg
male,25-45,ed. lv 1,2014,48.6,18.9,32.5,80.5,10.3,9.1,16.9,30.2,1.5,46.8,51.6,0.0,16.3,19.3
male,25-45,ed. lv 1,2016,51.9,16.6,31.5,78.7,11.5,9.8,17.0,32.4,2.4,42.0,55.6,50.6,21.9,16.2
male,25-45,ed. lv 1,2018,51.7,21.4,26.9,73.8,14.9,11.3,14.2,37.2,1.7,40.3,58.0,48.7,19.3,14.6
male,25-45,ed. lv 2,2014,39.5,20.6,40.0,87.9,7.6,4.5,15.8,23.3,0.8,48.8,50.4,0.0,18.3,24.5
male,25-45,ed. lv 2,2016,37.5,21.4,41.1,85.3,10.1,4.6,13.6,25.3,1.8,51.7,46.5,57.1,20.4,16.8
male,25-45,ed. lv 2,2018,36.5,22.5,40.9,88.2,6.3,5.6,11.0,23.3,1.4,45.2,53.4,57.5,21.4,16.1
male,45-65,ed. lv 1,2014,39.6,36.3,24.2,76.5,14.7,8.8,15.9,35.3,0.6,31.2,68.1,0.0,19.2,19.6
male,45-65,ed. lv 1,2016,38.7,34.4,26.9,77.2,15.6,7.2,18.3,35.1,0.5,31.9,67.6,47.7,21.8,12.5
male,45-65,ed. lv 1,2018,36.6,33.6,29.8,71.5,17.8,10.6,16.0,41.0,0.5,29.7,69.8,50.0,22.7,16.3
male,45-65,ed. lv 2,2014,29.0,38.3,32.7,89.4,8.0,2.6,13.2,24.6,0.4,33.8,65.8,0.0,21.5,27.2
male,45-65,ed. lv 2,2016,28.0,35.3,36.8,88.0,8.1,3.9,9.8,25.1,0.1,34.2,65.7,53.1,23.4,17.7
male,45-65,ed. lv 2,2018,26.8,35.1,38.1,86.5,7.9,5.6,11.2,28.5,0.3,32.7,66.9,56.4,21.0,14.8
male,>65,ed. lv 1,2014,18.5,64.0,17.5,81.8,12.5,5.7,8.2,38.4,0.2,32.3,67.5,0.0,38.1,35.6
male,>65,ed. lv 1,2016,17.8,62.5,19.7,77.3,15.6,7.1,7.3,42.7,0.2,31.9,67.9,45.6,34.8,13.6
male,>65,ed. lv 1,2018,17.0,62.5,20.5,77.3,17.1,5.6,9.6,41.7,0.4,32.5,67.1,47.2,33.2,13.4
male,>65,ed. lv 2,2014,14.5,64.9,20.6,85.1,11.9,3.0,7.2,37.0,0.1,34.7,65.2,0.0,35.1,40.0
male,>65,ed. lv 2,2016,14.0,64.2,21.8,83.6,13.0,3.4,7.1,39.0,0.2,35.8,64.1,50.4,36.8,14.7
male,>65,ed. lv 2,2018,12.8,67.5,19.6,88.3,9.8,1.9,7.4,32.9,0.5,34.9,64.5,54.5,31.0,14.6
female,25-45,ed. lv 1,2014,35.3,22.9,41.7,60.5,18.2,21.2,10.8,55.6,2.3,46.4,51.3,0.0,23.9,18.4
female,25-45,ed. lv 1,2016,34.1,20.6,45.2,54.5,22.6,22.9,12.7,65.4,3.0,41.3,55.8,48.6,26.4,12.8
female,25-45,ed. lv 1,2018,40.6,17.1,42.3,54.5,18.9,26.6,8.4,65.3,3.4,45.8,50.8,45.4,22.3,16.0
female,25-45,ed. lv 2,2014,26.8,24.8,48.5,75.1,15.3,9.6,6.6,48.0,2.7,54.0,43.3,0.0,23.9,20.9
female,25-45,ed. lv 2,2016,26.5,25.1,48.4,74.3,14.1,11.6,9.1,48.8,1.6,54.6,43.9,51.6,28.2,14.4
female,25-45,ed. lv 2,2018,26.2,25.7,48.2,73.7,15.6,10.7,8.1,51.8,1.9,48.0,50.1,51.5,27.1,17.8
female,45-65,ed. lv 1,2014,32.3,36.6,31.1,66.8,17.8,15.5,10.9,52.6,1.3,40.5,58.2,0.0,30.5,23.1
female,45-65,ed. lv 1,2016,29.1,39.3,31.6,62.2,18.7,19.1,12.2,57.5,2.0,36.4,61.6,45.1,28.6,14.3
female,45-65,ed. lv 1,2018,28.4,37.3,34.3,59.4,21.7,18.9,15.1,59.9,2.5,35.5,62.0,47.4,27.1,15.7
female,45-65,ed. lv 2,2014,24.0,37.2,38.8,78.3,14.2,7.5,8.0,45.9,1.2,46.6,52.2,0.0,32.8,29.6
female,45-65,ed. lv 2,2016,22.4,37.8,39.7,78.1,11.6,10.3,9.2,47.4,1.3,48.0,50.7,53.8,34.5,19.8
female,45-65,ed. lv 2,2018,20.7,36.1,43.3,78.1,12.5,9.4,8.5,48.3,0.6,47.5,51.9,53.8,33.3,21.5
female,>65,ed. lv 1,2014,13.1,37.4,49.5,61.9,20.3,17.7,5.9,68.9,1.3,38.5,60.2,0.0,45.3,35.1
female,>65,ed. lv 1,2016,11.3,38.5,50.2,61.5,20.3,18.2,5.0,70.6,1.4,37.7,60.9,30.4,45.7,10.4
female,>65,ed. lv 1,2018,11.1,43.5,45.4,61.3,20.5,18.2,8.0,70.0,1.1,39.3,59.6,30.6,42.6,13.2
female,>65,ed. lv 2,2014,12.0,45.2,42.8,79.2,11.5,9.3,7.7,61.5,1.2,48.8,49.9,0.0,49.5,42.3
female,>65,ed. lv 2,2016,13.5,45.1,41.3,76.1,14.0,9.9,6.5,59.2,0.8,44.3,54.9,41.2,52.7,17.6
female,>65,ed. lv 2,2018,12.0,45.4,42.6,74.0,15.3,10.7,5.5,62.0,1.4,47.1,51.5,40.2,52.1,16.9
