gender,age,characteristics_people,year,smokers,ex_smokers,never_smoked,drinker,ex_drinker,never_drank,heavy_drinker,max_1_glass_per_day,underweight,normal_weight,overweight,sufficient_moderate_intensive-effort,7_days_per_week_sufficient_fruit,7_days_per_week_sufficient_veg
male,<25,inco 1st 20%,2014,32.0,5.8,62.2,64.7,11.3,24.0,28.1,43.0,4.7,76.6,18.7,0.0,19.6,31.0
male,<25,inco 1st 20%,2016,26.5,5.3,68.2,61.4,9.4,29.1,25.7,44.5,4.2,77.2,18.6,56.7,26.4,26.5
male,<25,inco 1st 20%,2018,22.8,7.5,69.7,58.2,7.4,34.4,26.5,51.5,5.7,72.2,22.1,54.5,28.7,27.7
male,<25,inco 2nd 20%,2014,26.3,3.4,70.3,55.0,8.9,36.0,20.8,58.0,4.8,81.3,13.8,0.0,23.7,27.6
male,<25,inco 2nd 20%,2016,26.1,4.6,69.3,53.8,13.1,33.1,0.0,57.0,7.0,76.9,16.1,52.6,25.2,25.3
male,<25,inco 2nd 20%,2018,21.1,2.1,76.7,55.5,10.2,34.3,0.0,57.4,7.9,75.5,16.6,51.9,27.6,23.7
male,<25,inco 3rd 20%,2014,20.7,6.4,72.9,58.6,7.8,33.6,22.7,48.3,4.2,80.5,15.3,0.0,18.8,22.1
male,<25,inco 3rd 20%,2016,18.2,4.2,77.5,51.9,8.9,39.3,25.0,59.1,5.1,80.1,14.8,56.1,26.5,21.6
male,<25,inco 3rd 20%,2018,18.5,4.2,77.3,55.7,11.0,33.3,17.5,56.8,4.2,78.6,17.1,58.0,25.7,23.2
male,<25,inco 4th 20%,2014,23.9,6.7,69.4,65.3,9.8,24.9,22.3,42.9,3.9,82.5,13.5,0.0,23.9,25.9
male,<25,inco 4th 20%,2016,20.4,7.4,72.2,64.2,10.2,25.6,19.2,45.8,4.0,80.3,15.7,49.0,22.9,22.1
male,<25,inco 4th 20%,2018,16.1,3.0,80.9,58.1,8.5,33.4,17.7,50.3,6.7,80.5,12.8,58.6,23.5,24.9
male,<25,inco 5th 20%,2014,22.8,8.1,69.1,67.9,9.7,22.4,22.0,41.3,3.8,84.6,11.6,0.0,23.5,30.2
male,<25,inco 5th 20%,2016,19.3,6.8,73.9,70.0,8.0,22.0,24.4,39.6,6.0,81.3,12.7,57.3,25.6,28.4
male,<25,inco 5th 20%,2018,18.2,7.5,74.3,69.7,8.1,22.2,29.0,39.9,4.7,81.4,13.9,59.1,26.6,26.6
male,25-45,inco 1st 20%,2014,48.4,15.4,36.2,82.0,10.6,7.4,12.4,31.4,2.7,50.7,46.6,0.0,14.8,25.1
male,25-45,inco 1st 20%,2016,43.5,15.4,41.1,72.2,15.0,12.8,17.6,40.3,4.0,52.1,43.9,52.2,24.1,22.0
male,25-45,inco 1st 20%,2018,42.1,18.5,39.3,72.6,12.9,14.5,13.0,40.4,1.7,45.3,53.0,57.0,24.8,19.0
male,25-45,inco 2nd 20%,2014,41.1,24.0,35.0,79.5,7.7,12.8,15.8,34.2,1.6,51.5,46.8,0.0,17.9,20.4
male,25-45,inco 2nd 20%,2016,46.0,20.0,34.0,82.6,10.1,7.3,14.5,27.5,3.2,50.9,45.9,57.7,17.9,14.0
male,25-45,inco 2nd 20%,2018,43.1,18.8,38.1,84.9,7.5,7.6,11.6,25.7,1.0,46.6,52.4,57.4,20.6,20.9
male,25-45,inco 3rd 20%,2014,37.4,18.5,44.1,88.3,7.9,3.8,16.9,21.0,0.2,49.9,49.9,0.0,20.4,23.6
male,25-45,inco 3rd 20%,2016,33.3,24.4,42.3,88.8,7.1,4.1,11.4,22.2,1.8,53.4,44.9,60.6,19.6,16.8
male,25-45,inco 3rd 20%,2018,31.4,25.7,42.8,89.3,6.3,4.5,12.1,23.1,1.4,47.4,51.2,61.5,24.1,17.7
male,25-45,inco 4th 20%,2014,30.1,18.8,51.0,92.8,4.0,3.1,12.5,19.7,0.2,50.5,49.4,0.0,17.7,27.3
male,25-45,inco 4th 20%,2016,30.6,21.7,47.7,90.2,7.2,2.6,15.9,20.4,0.9,53.0,46.1,58.3,20.1,15.5
male,25-45,inco 4th 20%,2018,25.7,22.8,51.5,91.2,4.9,3.9,11.2,21.9,1.1,54.2,44.7,59.0,20.1,14.1
male,25-45,inco 5th 20%,2014,27.1,23.1,49.8,94.5,3.9,1.6,11.7,16.3,0.4,58.2,41.3,0.0,17.9,35.2
male,25-45,inco 5th 20%,2016,24.0,22.9,53.1,93.0,4.5,2.4,11.9,18.3,0.5,59.3,40.2,60.6,23.0,19.8
male,25-45,inco 5th 20%,2018,21.6,21.7,56.7,94.3,3.0,2.7,11.6,17.0,0.7,57.8,41.5,59.1,24.8,24.4
male,45-65,inco 1st 20%,2014,45.7,27.7,26.6,73.3,16.3,10.4,13.5,43.2,1.5,32.6,65.8,0.0,20.2,25.1
male,45-65,inco 1st 20%,2016,45.5,27.6,26.8,71.9,17.4,10.8,16.8,45.0,0.4,42.7,56.8,40.6,21.4,22.3
male,45-65,inco 1st 20%,2018,51.3,24.8,23.9,58.9,22.3,18.7,18.5,53.9,0.7,37.2,62.1,41.1,20.4,18.3
male,45-65,inco 2nd 20%,2014,35.8,35.9,28.3,77.3,15.5,7.2,13.5,38.4,0.4,32.0,67.6,0.0,19.7,22.5
